agent,winner,turns,run_time,depth,path_count,win_weight,draw_weight,lose_weight
MonteCarlo,MonteCarlo,155,6.04933500289917,20,30,1,-1,-2
MonteCarlo,MonteCarlo,47,1.901540756225586,20,30,1,-1,-2
MonteCarlo,draw,555,17.38718318939209,20,30,1,-1,-2
MonteCarlo,MonteCarlo,83,3.2326629161834717,20,30,1,-1,-2
MonteCarlo,MonteCarlo,19,0.7348959445953369,20,30,1,-1,-2
MonteCarlo,draw,482,14.055304050445557,20,30,1,-1,-2
MonteCarlo,draw,415,12.467442035675049,20,30,1,-1,-2
MonteCarlo,MonteCarlo,121,4.54997706413269,20,30,1,-1,-2
MonteCarlo,MonteCarlo,481,14.851935148239136,20,30,1,-1,-2
MonteCarlo,MonteCarlo,389,12.453974723815918,20,30,1,-1,-2
MonteCarlo,MonteCarlo,203,7.16526985168457,20,30,1,-1,-2
MonteCarlo,MonteCarlo,39,1.4807088375091553,20,30,1,-1,-2
MonteCarlo,MonteCarlo,83,3.1388940811157227,20,30,1,-1,-2
MonteCarlo,MonteCarlo,131,4.9683918952941895,20,30,1,-1,-2
MonteCarlo,draw,604,18.250730991363525,20,30,1,-1,-2
MonteCarlo,MonteCarlo,113,4.2441160678863525,20,30,1,-1,-2
MonteCarlo,MonteCarlo,137,5.357416868209839,20,30,1,-1,-2
MonteCarlo,MonteCarlo,115,4.826859951019287,20,30,1,-1,-2
MonteCarlo,MonteCarlo,53,2.18133282661438,20,30,1,-1,-2
MonteCarlo,MonteCarlo,51,2.1236519813537598,20,30,1,-1,-2
MonteCarlo,draw,140,4.957503080368042,20,30,1,-1,-2
MonteCarlo,MonteCarlo,95,3.6035280227661133,20,30,1,-1,-2
MonteCarlo,MonteCarlo,167,6.201657772064209,20,30,1,-1,-2
MonteCarlo,MonteCarlo,47,1.7904138565063477,20,30,1,-1,-2
MonteCarlo,draw,366,13.461197853088379,20,30,1,-1,-2
MonteCarlo,draw,514,15.064893007278442,20,30,1,-1,-2
MonteCarlo,MonteCarlo,91,3.6246209144592285,20,30,1,-1,-2
