agent,winner,turns,run_time,depth
PieceSquares,draw,664,11.896100044250488,2
PieceSquares,Random,376,5.468229055404663,2
PieceSquares,draw,557,16.61479115486145,2
PieceSquares,Random,202,5.367263078689575,2
PieceSquares,draw,188,5.64392614364624,2
PieceSquares,draw,496,10.280635118484497,2
PieceSquares,Random,316,10.52646780014038,2
PieceSquares,Random,276,8.729668140411377,2
PieceSquares,draw,584,8.624885082244873,2
PieceSquares,Random,194,7.71649694442749,2
PieceSquares,Random,204,6.39786434173584,2
PieceSquares,Random,120,4.303462266921997,2
PieceSquares,draw,261,7.8766679763793945,2
PieceSquares,Random,204,6.133942127227783,2
PieceSquares,Random,130,5.002328634262085,2
PieceSquares,Random,438,11.398291826248169,2
PieceSquares,Random,142,3.8173959255218506,2
PieceSquares,draw,506,8.51735806465149,2
PieceSquares,draw,524,14.889510154724121,2
PieceSquares,draw,264,6.396056890487671,2
PieceSquares,draw,496,8.561166763305664,2
PieceSquares,draw,499,10.602087020874023,2
PieceSquares,Random,516,11.27525806427002,2
PieceSquares,draw,366,10.927026987075806,2
PieceSquares,draw,293,9.9151771068573,2
PieceSquares,draw,311,4.045823097229004,2
PieceSquares,Random,106,3.526874303817749,2
PieceSquares,Random,334,8.973172903060913,2
PieceSquares,Random,164,4.451793909072876,2
PieceSquares,draw,294,5.0828001499176025,2
PieceSquares,draw,678,10.051256895065308,2
PieceSquares,draw,648,12.771442174911499,2
PieceSquares,Random,296,9.861127853393555,2
PieceSquares,draw,418,11.684359788894653,2
PieceSquares,draw,456,7.50288987159729,2
PieceSquares,draw,317,10.497267961502075,2
PieceSquares,draw,312,5.055427074432373,2
PieceSquares,draw,550,6.355780124664307,2
PieceSquares,Random,624,12.839434146881104,2
PieceSquares,draw,451,11.368808269500732,2
PieceSquares,draw,591,16.627920866012573,2
PieceSquares,Random,400,6.396860837936401,2
PieceSquares,draw,438,7.234513998031616,2
PieceSquares,Random,352,10.582243919372559,2
PieceSquares,Random,276,7.361166000366211,2
PieceSquares,draw,417,12.21299409866333,2
PieceSquares,Random,530,12.381762027740479,2
PieceSquares,draw,414,12.651273965835571,2
PieceSquares,Random,340,6.089166164398193,2
PieceSquares,Random,300,9.805821895599365,2
PieceSquares,Random,296,6.158921957015991,2
PieceSquares,draw,546,9.793545246124268,2
PieceSquares,Random,62,2.5515360832214355,2
PieceSquares,draw,279,9.622808694839478,2
PieceSquares,Random,94,3.4166409969329834,2
PieceSquares,draw,427,6.816488027572632,2
PieceSquares,draw,568,10.143115043640137,2
PieceSquares,Random,96,2.7256786823272705,2
PieceSquares,draw,638,11.478085279464722,2
PieceSquares,Random,484,9.006830215454102,2
PieceSquares,Random,100,3.2037439346313477,2
PieceSquares,Random,188,7.371912956237793,2
PieceSquares,Random,228,10.659131288528442,2
PieceSquares,draw,618,13.92961597442627,2
PieceSquares,draw,492,10.12352180480957,2
PieceSquares,draw,556,8.02117919921875,2
PieceSquares,Random,216,5.432366132736206,2
PieceSquares,draw,282,7.7522358894348145,2
PieceSquares,Random,250,9.635382890701294,2
PieceSquares,draw,337,5.43042778968811,2
PieceSquares,Random,242,5.356619119644165,2
PieceSquares,Random,288,9.826058149337769,2
PieceSquares,Random,232,7.185578107833862,2
PieceSquares,draw,386,7.993537902832031,2
PieceSquares,Random,102,4.285613059997559,2
PieceSquares,Random,242,8.897390127182007,2
PieceSquares,draw,380,9.68539810180664,2
PieceSquares,Random,98,2.7349650859832764,2
PieceSquares,Random,366,9.139611005783081,2
PieceSquares,draw,432,9.112953901290894,2
PieceSquares,Random,112,3.1463510990142822,2
PieceSquares,Random,228,6.860071897506714,2
PieceSquares,Random,254,4.568795919418335,2
PieceSquares,Random,204,5.012923002243042,2
PieceSquares,draw,670,9.408431768417358,2
PieceSquares,draw,274,5.304890155792236,2
PieceSquares,Random,214,6.808401107788086,2
PieceSquares,Random,238,8.337616920471191,2
PieceSquares,Random,124,3.9491782188415527,2
PieceSquares,Random,282,7.6825902462005615,2
PieceSquares,Random,246,5.154705762863159,2
PieceSquares,draw,248,6.8853466510772705,2
PieceSquares,Random,472,16.53720211982727,2
PieceSquares,Random,532,9.31570315361023,2
PieceSquares,Random,222,6.946806907653809,2
PieceSquares,draw,816,10.880106925964355,2
PieceSquares,Random,164,6.783623218536377,2
PieceSquares,Random,222,6.2934250831604,2
PieceSquares,Random,280,4.775759696960449,2
PieceSquares,Random,52,1.5802252292633057,2
